Aggregated engagement metrics for your organic and sponsored posts over time. Date indicates when your posts were viewed by LinkedIn members. Data is delayed by up to 2 days. All dates and times are in UTC.,,,,,,,,,,,,,,,,,,,
Date,Impressions (organic),Impressions (sponsored),Impressions (total),Unique impressions (organic),Clicks (organic),Clicks (sponsored),Clicks (total),Reactions (organic),Reactions (sponsored),Reactions (total),Comments (organic),Comments (sponsored),Comments (total),Reposts (organic),Reposts (sponsored),Reposts (total),Engagement rate (organic),Engagement rate (sponsored),Engagement rate (total)
04/01/2025,108,0,108,38,1,0,1,7,0,7,1,0,1,1,0,1,0.0925925925925926,0,0.0925925925925926
04/02/2025,105,0,105,42,7,0,7,7,0,7,0,0,0,1,0,1,0.142857142857143,0,0.142857142857143
04/03/2025,105,0,105,21,5,0,5,2,0,2,0,0,0,1,0,1,0.0761904761904762,0,0.0761904761904762
04/04/2025,150,0,150,31,10,0,10,19,0,19,0,0,0,1,0,1,0.2,0,0.2
04/05/2025,57,0,57,19,14,0,14,2,0,2,0,0,0,0,0,0,0.280701754385965,0,0.280701754385965
04/06/2025,17,0,17,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/07/2025,93,0,93,24,3,0,3,9,0,9,0,0,0,1,0,1,0.139784946236559,0,0.139784946236559
04/08/2025,82,0,82,32,2,0,2,7,0,7,0,0,0,0,0,0,0.109756097560976,0,0.109756097560976
04/09/2025,88,0,88,28,10,0,10,8,0,8,1,0,1,2,0,2,0.238636363636364,0,0.238636363636364
04/10/2025,102,0,102,32,9,0,9,3,0,3,0,0,0,1,0,1,0.127450980392157,0,0.127450980392157
04/11/2025,137,0,137,41,6,0,6,3,0,3,3,0,3,2,0,2,0.102189781021898,0,0.102189781021898
04/12/2025,44,0,44,26,3,0,3,3,0,3,0,0,0,0,0,0,0.136363636363636,0,0.136363636363636
04/13/2025,22,0,22,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/14/2025,20,0,20,11,3,0,3,1,0,1,0,0,0,1,0,1,0.25,0,0.25
04/15/2025,58,0,58,15,1,0,1,4,0,4,0,0,0,1,0,1,0.103448275862069,0,0.103448275862069
04/16/2025,52,0,52,18,4,0,4,2,0,2,0,0,0,1,0,1,0.134615384615385,0,0.134615384615385
04/17/2025,86,0,86,20,4,0,4,4,0,4,0,0,0,1,0,1,0.104651162790698,0,0.104651162790698
04/18/2025,111,0,111,39,5,0,5,11,0,11,0,0,0,1,0,1,0.153153153153153,0,0.153153153153153
04/19/2025,23,0,23,16,0,0,0,1,0,1,0,0,0,0,0,0,0.0434782608695652,0,0.0434782608695652
04/20/2025,40,0,40,16,2,0,2,6,0,6,0,0,0,0,0,0,0.2,0,0.2
04/21/2025,43,0,43,19,0,0,0,1,0,1,0,0,0,1,0,1,0.0465116279069767,0,0.0465116279069767
04/22/2025,15,0,15,10,0,0,0,0,0,0,0,0,0,1,0,1,0.0666666666666667,0,0.0666666666666667
04/23/2025,88,0,88,9,0,0,0,2,0,2,0,0,0,0,0,0,0.0227272727272727,0,0.0227272727272727
04/24/2025,10,0,10,5,2,0,2,0,0,0,0,0,0,1,0,1,0.3,0,0.3
04/25/2025,70,0,70,15,4,0,4,12,0,12,0,0,0,1,0,1,0.242857142857143,0,0.242857142857143
04/26/2025,15,0,15,6,1,0,1,0,0,0,0,0,0,0,0,0,0.0666666666666667,0,0.0666666666666667
04/27/2025,25,0,25,6,1,0,1,1,0,1,0,0,0,0,0,0,0.08,0,0.08
04/28/2025,28,0,28,14,1,0,1,0,0,0,0,0,0,1,0,1,0.0714285714285714,0,0.0714285714285714
04/29/2025,26,0,26,11,0,0,0,0,0,0,0,0,0,1,0,1,0.0384615384615385,0,0.0384615384615385
04/30/2025,36,0,36,13,1,0,1,0,0,0,0,0,0,1,0,1,0.0555555555555556,0,0.0555555555555556
